id,country,name,slug,start_date,parent,fecha_inicio,año_inicio
26,392,Square Enix,square-enix,1049155200.0,,2003-04-01,2003
29,840,Rockstar Games,rockstar-games,912470400.0,139.0,1998-12-01,1998
37,392,Capcom,capcom,296870400.0,,1979-05-30,1979
38,124,Ubisoft Montreal,ubisoft-montreal,859852800.0,104.0,1997-04-01,1997
50,840,WB Games,wb-games,757296000.0,1633.0,1993-12-31,1993
51,840,Blizzard Entertainment,blizzard-entertainment,765072000.0,179.0,1994-03-31,1994
70,392,Nintendo,nintendo,-2533161600.0,,1889-09-23,1889
82,840,Atari,atari,70848000.0,34855.0,1972-03-31,1972
110,250,Focus Entertainment,focus-entertainment,851990400.0,,1996-12-31,1996
139,840,Take-Two Interactive,take-two-interactive,757296000.0,,1993-12-31,1993
1,840,Electronic Arts,electronic-arts,391392000.0,,1982-05-28,1982
73,840,Aspyr Media,aspyr-media,828230400.0,42782.0,1996-03-31,1996
78,,Snowblind Studios,snowblind-studios,,,,
104,250,Ubisoft Entertainment,ubisoft-entertainment,512352000.0,,1986-03-28,1986
112,392,Sega,sega,1585699200.0,2211.0,2020-04-01,2020
129,392,Konami,konami,-24710400.0,,1969-03-21,1969
251,392,SUNSOFT,sunsoft,276048000.0,,1978-10-01,1978
290,208,IO Interactive,io-interactive,905904000.0,,1998-09-16,1998
331,528,Triumph Studios,triumph-studios,883526400.0,517.0,1997-12-31,1997
517,752,Paradox Interactive,paradox-interactive,915062400.0,,1998-12-31,1998
17,124,Digital Extremes,digital-extremes,757296000.0,,1993-12-31,1993
116,203,Bohemia Interactive Studio,bohemia-interactive-studio,938649600.0,,1999-09-30,1999
152,840,MicroProse,microprose,1577750400.0,,2019-12-31,2019
404,250,Cyanide Studio,cyanide-studio,978220800.0,24760.0,2000-12-31,2000
486,826,Sports Interactive,sports-interactive,774748800.0,112.0,1994-07-21,1994
858,392,Koei Tecmo Games,koei-tecmo-games,1270080000.0,8482.0,2010-04-01,2010
954,152,ACE Team,ace-team,1041292800.0,,2002-12-31,2002
955,124,Blue Isle Studios,blue-isle-studios,1293753600.0,,2010-12-31,2010
1031,826,Core Design,core-design--2,579484800.0,,1988-05-13,1988
1097,250,Shiro Games,shiro-games,1356912000.0,8623.0,2012-12-31,2012
345,,Think & Feel,think-feel,,,,
363,410,GRAVITY,gravity,,,,
537,752,Massive Entertainment,massive-entertainment,883526400.0,104.0,1997-12-31,1997
766,840,Retro Studios,retro-studios,915062400.0,773.0,1998-12-31,1998
1221,392,Artdink,artdink,514425600.0,,1986-04-21,1986
1443,203,SCS Software,scs-software,859766400.0,,1997-03-31,1997
1901,,Reef Entertainment,reef-entertainment,,,,
2066,,Nova Games,nova-games,,,,
2237,,SideQuest Studios,sidequest-studios,,,,
2262,840,NIS America,nis-america,1072224000.0,1405.0,2003-12-24,2003
8,840,2K Games,2k-games,1106611200.0,139.0,2005-01-25,2005
58,752,Mojang Studios,mojang-studios,1241136000.0,17966.0,2009-05-01,2009
61,250,Gameloft,gameloft,945129600.0,,1999-12-14,1999
66,840,Activision,activision,307584000.0,179.0,1979-10-01,1979
71,840,Raven Software,raven-software,662601600.0,66.0,1990-12-31,1990
126,840,Bethesda Game Studios,bethesda-game-studios,1009756800.0,16565.0,2001-12-31,2001
148,840,Gearbox Software,gearbox-software,919123200.0,42845.0,1999-02-16,1999
175,100,Haemimont Games,haemimont-games,873072000.0,517.0,1997-09-01,1997
196,124,Relic Entertainment,relic-entertainment,883526400.0,2211.0,1997-12-31,1997
233,124,Piranha Games,piranha-games,978220800.0,,2000-12-31,2000
47,840,Obsidian Entertainment,obsidian-entertainment,1072828800.0,17966.0,2003-12-31,2003
94,752,EA Digital Illusions CE,ea-digital-illusions-ce,1167523200.0,1.0,2006-12-31,2006
191,392,Imagineer,imagineer,507168000.0,,1986-01-27,1986
347,826,Criterion Games,criterion-games,820454400.0,1.0,1996-01-01,1996
449,,D3 Publisher,d3-publisher,,5222.0,,
571,276,Out Of The Park Developments,out-of-the-park-developments,,,,
716,840,Natsume Inc.,natsume-inc,820368000.0,,1995-12-31,1995
800,392,Jupiter Corporation,jupiter-corporation,708220800.0,,1992-06-11,1992
830,392,Sega AM2,sega-am2,662601600.0,112.0,1990-12-31,1990
915,840,Crate Entertainment,crate-entertainment,1230681600.0,,2008-12-31,2008
41,840,Riot Games,riot-games,1156982400.0,3595.0,2006-08-31,2006
85,840,Double Fine Productions,double-fine-productions,962409600.0,17966.0,2000-07-01,2000
208,826,Frontier Developments,frontier-developments,757382400.0,,1994-01-01,1994
224,840,3D Realms,3d-realms,567907200.0,946.0,1987-12-31,1987
284,840,Maxis,maxis,536457600.0,1.0,1987-01-01,1987
398,156,Ubisoft Shanghai,ubisoft-shanghai,851990400.0,104.0,1996-12-31,1996
421,392,Nintendo EAD,nintendo-ead,631065600.0,70.0,1989-12-31,1989
454,124,EA Sports,ea-sports,694137600.0,1.0,1991-12-31,1991
610,840,Monster Games,monster-games,851990400.0,,1996-12-31,1996
645,826,Firefly Studios,firefly-studios,946598400.0,,1999-12-31,1999
108,616,Techland,techland,694137600.0,,1991-12-31,1991
256,410,NCSOFT,ncsoft,883526400.0,,1997-12-31,1997
318,826,Rebellion Developments,rebellion-developments,723427200.0,,1992-12-04,1992
366,840,Epyx,epyx,441676800.0,,1983-12-31,1983
385,36,Krome Studios,krome-studios,946598400.0,,1999-12-31,1999
583,124,Ironclad Games,ironclad-games,,,,
711,840,Psyonix,psyonix,978220800.0,17463.0,2000-12-31,2000
780,276,Digitalmindsoft,digitalmindsoft,1167523200.0,,2006-12-31,2006
928,840,Supergiant Games,supergiant-games,1262217600.0,,2009-12-31,2009
1260,124,Behaviour Interactive,behaviour-interactive,883526400.0,,1997-12-31,1997
79,250,Magic Pockets,magic-pockets,978220800.0,,2000-12-31,2000
146,124,Strategy First,strategy-first,662601600.0,,1990-12-31,1990
439,826,Sumo Digital,sumo-digital,1072828800.0,44203.0,2003-12-31,2003
694,840,Visual Concepts,visual-concepts,578448000.0,1975.0,1988-05-01,1988
762,392,HAL Laboratory,hal-laboratory,319939200.0,70.0,1980-02-21,1980
