id,country,name,slug,start_date,parent
26,392.0,Square Enix,square-enix,1049155200.0,
29,840.0,Rockstar Games,rockstar-games,912470400.0,139.0
37,392.0,Capcom,capcom,296870400.0,
38,124.0,Ubisoft Montreal,ubisoft-montreal,859852800.0,104.0
50,840.0,WB Games,wb-games,757296000.0,1633.0
51,840.0,Blizzard Entertainment,blizzard-entertainment,765072000.0,179.0
70,392.0,Nintendo,nintendo,-2533161600.0,
82,840.0,Atari,atari,70848000.0,34855.0
110,250.0,Focus Entertainment,focus-entertainment,851990400.0,
139,840.0,Take-Two Interactive,take-two-interactive,757296000.0,
1,840.0,Electronic Arts,electronic-arts,391392000.0,
73,840.0,Aspyr Media,aspyr-media,828230400.0,42782.0
78,,Snowblind Studios,snowblind-studios,,
104,250.0,Ubisoft Entertainment,ubisoft-entertainment,512352000.0,
112,392.0,Sega,sega,1585699200.0,2211.0
129,392.0,Konami,konami,-24710400.0,
251,392.0,SUNSOFT,sunsoft,276048000.0,
290,208.0,IO Interactive,io-interactive,905904000.0,
331,528.0,Triumph Studios,triumph-studios,883526400.0,517.0
517,752.0,Paradox Interactive,paradox-interactive,915062400.0,
17,124.0,Digital Extremes,digital-extremes,757296000.0,
116,203.0,Bohemia Interactive Studio,bohemia-interactive-studio,938649600.0,
152,840.0,MicroProse,microprose,1577750400.0,
404,250.0,Cyanide Studio,cyanide-studio,978220800.0,24760.0
486,826.0,Sports Interactive,sports-interactive,774748800.0,112.0
858,392.0,Koei Tecmo Games,koei-tecmo-games,1270080000.0,8482.0
954,152.0,ACE Team,ace-team,1041292800.0,
955,124.0,Blue Isle Studios,blue-isle-studios,1293753600.0,
1031,826.0,Core Design,core-design--2,579484800.0,
1097,250.0,Shiro Games,shiro-games,1356912000.0,8623.0
345,,Think & Feel,think-feel,,
363,410.0,GRAVITY,gravity,,
537,752.0,Massive Entertainment,massive-entertainment,883526400.0,104.0
766,840.0,Retro Studios,retro-studios,915062400.0,773.0
1221,392.0,Artdink,artdink,514425600.0,
1443,203.0,SCS Software,scs-software,859766400.0,
1901,,Reef Entertainment,reef-entertainment,,
2066,,Nova Games,nova-games,,
