id,name,slug,platform_family
376,Epoch Super Cassette Vision,epoch-super-cassette-vision,
510,e-Reader / Card-e Reader,e-reader-slash-card-e-reader,5.0
12,Xbox 360,xbox360,2.0
32,Sega Saturn,saturn,3.0
62,Atari Jaguar,jaguar,
148,AY-3-8607,ay-3-8607,
150,Turbografx-16/PC Engine CD,turbografx-16-slash-pc-engine-cd,
156,Thomson MO5,thomson-mo5,
306,Satellaview,satellaview,5.0
339,Sega Pico,sega-pico,3.0
389,AirConsole,airconsole,
13,DOS,dos,
60,Atari 7800,atari7800,
41,Wii U,wiiu,5.0
309,Evercade,evercade,
506,Amstrad GX4000,gx4000,
112,Microcomputer,microcomputer--1,
410,Atari Jaguar CD,atari-jaguar-cd,
30,Sega 32X,sega32,3.0
53,MSX2,msx2,
61,Atari Lynx,lynx,
77,Sharp X1,x1,
120,Neo Geo Pocket Color,neo-geo-pocket-color,
127,Fairchild Channel F,fairchild-channel-f,
132,Amazon Fire TV,firetv,
413,Leapster Explorer/LeadPad Explorer,leapster-explorer-slash-leadpad-explorer,
140,AY-3-8500,ay-3-8500,
143,AY-3-8760,ay-3-8760,
153,Dragon 32/64,dragon-32-slash-64,
167,PlayStation 5,ps5,1.0
154,Amstrad PCW,apcw,
70,Vectrex,vectrex,
87,Virtual Boy,virtualboy,5.0
145,AY-3-8603,ay-3-8603,
386,Meta Quest 2,meta-quest-2,
390,PlayStation VR2,psvr2,1.0
477,Panasonic Jungle,panasonic-jungle,
65,Atari 8-bit,atari8bit,
158,Commodore CDTV,commodore-cdtv,
165,PlayStation VR,psvr,1.0
504,Uzebox,uzebox,
440,Visual Memory Unit / Visual Memory System,visual-memory-unit-slash-visual-memory-system,3.0
473,Arcadia 2001,arcadia-2001,
474,Gizmondo,gizmondo,
48,PlayStation 4,ps4--1,1.0
51,Family Computer Disk System,fds,5.0
89,Microvision,microvision--1,
94,Commodore Plus/4,c-plus-4,
123,WonderSwan Color,wonderswan-color,
128,PC Engine SuperGrafx,supergrafx,
129,Texas Instruments TI-99,ti-99,
482,Sega CD 32X,sega-cd-32x,3.0
3,Linux,linux,4.0
6,PC (Microsoft Windows),win,
8,PlayStation 2,ps2,1.0
88,Odyssey,odyssey--1,
97,PDP-8,pdp-8--1,
23,Dreamcast,dc,3.0
136,Neo Geo CD,neo-geo-cd,
134,Acorn Electron,acorn-electron,
35,Sega Game Gear,gamegear,3.0
39,iOS,ios,
44,Tapwave Zodiac,zod,
78,Sega CD,sega-cd,3.0
144,AY-3-8710,ay-3-8710,
146,AY-3-8605,ay-3-8605,
163,SteamVR,steam-vr,
373,Sinclair ZX81,sinclair-zx81,
147,AY-3-8606,ay-3-8606,
149,PC-9800 Series,pc-9800-series,
237,Sol-20,sol-20,
